# Sample: EPI-2082_BCB_ITO_500nm_50K_1.40mW_1.15eV_
# Temperature: 50.1 K
# Power: 1.4200 mW
# Smoothing: Savitzky-Golay, window=37 pts, poly_order=3
# Columns: Energy(eV) | Raw_counts | DarkSub_norm | WL_corrected | Stitched | Stitched_smooth
Energy(eV)	Raw_counts	DarkSub_norm	WL_corrected	Stitched	Stitched_smooth
1.007751	1.123000e+03	6.000000e+00	3.044170e+00	3.044170e+00	7.770776e+00
1.007995	1.100000e+03	2.933333e+01	1.234742e+01	1.234742e+01	9.216148e+00
1.008239	1.103000e+03	2.866667e+01	1.634714e+01	1.634714e+01	1.048477e+01
1.008484	1.126000e+03	2.466667e+01	8.978511e+00	8.978511e+00	1.158653e+01
1.008728	1.135000e+03	1.933333e+01	1.052980e+01	1.052980e+01	1.253130e+01
1.008972	1.141000e+03	9.333333e+00	3.422273e+00	3.422273e+00	1.332897e+01
1.009217	1.084000e+03	2.333333e+01	1.308117e+01	1.308117e+01	1.398943e+01
1.009462	1.202000e+03	3.066667e+01	1.213890e+01	1.213890e+01	1.452256e+01
1.009706	1.179000e+03	3.866667e+01	2.188689e+01	2.188689e+01	1.493824e+01
1.009951	1.199000e+03	2.400000e+01	1.044625e+01	1.044625e+01	1.524636e+01
1.010196	1.192000e+03	5.066667e+01	2.144692e+01	2.144692e+01	1.545679e+01
1.010442	1.112000e+03	1.600000e+01	1.451035e+01	1.451035e+01	1.557943e+01
1.010687	1.070000e+03	5.066667e+01	6.068607e+01	6.068607e+01	1.562415e+01
1.010932	1.189000e+03	6.666667e+00	2.940378e+00	2.940378e+00	1.560084e+01
1.011178	1.218000e+03	4.600000e+01	2.711402e+01	2.711402e+01	1.551938e+01
1.011423	1.106000e+03	-7.333333e+00	-2.994621e+00	-2.994621e+00	1.538966e+01
1.011669	1.121000e+03	2.800000e+01	1.342648e+01	1.342648e+01	1.522156e+01
1.011915	1.068000e+03	9.333333e+00	5.858708e+00	5.858708e+00	1.502497e+01
1.012161	1.183000e+03	2.133333e+01	1.560424e+01	1.560424e+01	1.480976e+01
1.012407	1.161000e+03	8.000000e+00	2.732650e+00	2.732650e+00	1.502063e+01
1.012653	1.152000e+03	2.333333e+01	1.039141e+01	1.039141e+01	1.463865e+01
1.012900	1.152000e+03	3.466667e+01	9.815715e+00	9.815715e+00	1.507210e+01
1.013146	1.142000e+03	0.000000e+00	0.000000e+00	0.000000e+00	1.535495e+01
1.013393	1.111000e+03	3.133333e+01	1.612916e+01	1.612916e+01	1.533491e+01
1.013640	1.118000e+03	1.866667e+01	1.070729e+01	1.070729e+01	1.491837e+01
1.013887	1.116000e+03	4.200000e+01	1.935439e+01	1.935439e+01	1.440300e+01
1.014133	1.090000e+03	2.666667e+01	2.283748e+01	2.283748e+01	1.418485e+01
1.014381	1.126000e+03	4.933333e+01	1.817849e+01	1.817849e+01	1.389886e+01
1.014628	1.113000e+03	3.466667e+01	2.084254e+01	2.084254e+01	1.320937e+01
1.014875	1.093000e+03	1.733333e+01	6.551603e+00	6.551603e+00	1.314328e+01
1.015123	1.143000e+03	6.066667e+01	2.948576e+01	2.948576e+01	1.235450e+01
1.015370	1.068000e+03	6.666667e+00	2.661977e+00	2.661977e+00	1.440900e+01
1.015618	1.138000e+03	6.133333e+01	4.148645e+01	4.148645e+01	1.366984e+01
1.015866	1.087000e+03	9.333333e+00	2.617720e+00	2.617720e+00	1.482932e+01
1.016114	1.204000e+03	4.200000e+01	2.346243e+01	2.346243e+01	1.340559e+01
1.016362	1.182000e+03	-4.000000e+00	-9.424277e-01	-9.424277e-01	1.384769e+01
1.016610	1.127000e+03	3.333333e+01	2.242240e+01	2.242240e+01	1.287233e+01
1.016858	1.172000e+03	8.000000e+00	1.830563e+00	1.830563e+00	1.326103e+01
1.017106	1.161000e+03	2.466667e+01	2.343663e+01	2.343663e+01	1.261554e+01
1.017355	1.147000e+03	2.200000e+01	7.668282e+00	7.668282e+00	1.255761e+01
1.017604	1.135000e+03	1.333333e+00	8.163652e-01	8.163652e-01	1.243024e+01
1.017852	1.119000e+03	1.933333e+01	5.682602e+00	5.682602e+00	1.136561e+01
1.018101	1.195000e+03	8.000000e+00	3.923325e+00	3.923325e+00	1.102218e+01
1.018350	1.184000e+03	4.733333e+01	1.295559e+01	1.295559e+01	1.034095e+01
1.018600	1.171000e+03	6.000000e+00	2.698451e+00	2.698451e+00	9.794914e+00
1.018849	1.056000e+03	4.533333e+01	1.346100e+01	1.346100e+01	9.617193e+00
1.019098	1.086000e+03	1.533333e+01	1.246281e+01	1.246281e+01	9.169315e+00
1.019348	1.216000e+03	3.333333e+01	7.927172e+00	7.927172e+00	9.104814e+00
1.019597	1.148000e+03	3.600000e+01	2.020027e+01	2.020027e+01	8.064203e+00
1.019847	1.100000e+03	1.333333e+01	2.767833e+00	2.767833e+00	8.471577e+00
1.020097	1.187000e+03	5.000000e+01	1.850471e+01	1.850471e+01	6.818449e+00
1.020347	1.062000e+03	-1.266667e+01	-4.455956e+00	-4.455956e+00	8.301457e+00
1.020597	1.151000e+03	5.533333e+01	2.914105e+01	2.914105e+01	7.535514e+00
1.020847	1.155000e+03	-8.000000e+00	-1.601930e+00	-1.601930e+00	8.665098e+00
1.021098	1.191000e+03	4.733333e+01	2.490448e+01	2.490448e+01	8.237346e+00
1.021348	1.070000e+03	4.000000e+00	9.754975e-01	9.754975e-01	9.178098e+00
1.021599	1.099000e+03	1.800000e+01	1.108916e+01	1.108916e+01	8.898014e+00
1.021850	1.091000e+03	5.333333e+00	1.232438e+00	1.232438e+00	9.773677e+00
1.022100	1.122000e+03	-1.333333e+00	-1.358668e+00	-1.358668e+00	9.885540e+00
1.022351	1.115000e+03	3.933333e+01	7.693942e+00	7.693942e+00	9.682045e+00
1.022602	1.090000e+03	5.333333e+00	3.467761e+00	3.467761e+00	9.651251e+00
1.022854	1.159000e+03	3.066667e+01	4.866332e+00	4.866332e+00	9.373366e+00
