# Sample: EPI-2082_BCB_ITO_500nm_50K_3.31mW_1.15eV_
# Temperature: 50.1 K
# Power: 3.3800 mW
# Smoothing: Savitzky-Golay, window=37 pts, poly_order=3
# Columns: Energy(eV) | Raw_counts | DarkSub_norm | WL_corrected | Stitched | Stitched_smooth
Energy(eV)	Raw_counts	DarkSub_norm	WL_corrected	Stitched	Stitched_smooth
1.007751	1.424000e+03	3.580000e+02	1.816355e+02	1.816355e+02	1.521230e+02
1.007995	1.485000e+03	4.420000e+02	1.860532e+02	1.860532e+02	1.641307e+02
1.008239	1.438000e+03	3.730000e+02	2.127028e+02	2.127028e+02	1.750114e+02
1.008484	1.454000e+03	3.840000e+02	1.397736e+02	1.397736e+02	1.848059e+02
1.008728	1.436000e+03	3.160000e+02	1.721077e+02	1.721077e+02	1.935549e+02
1.008972	1.434000e+03	3.690000e+02	1.353020e+02	1.353020e+02	2.012994e+02
1.009217	1.418000e+03	3.630000e+02	2.035056e+02	2.035056e+02	2.080799e+02
1.009462	1.472000e+03	3.720000e+02	1.472502e+02	1.472502e+02	2.139374e+02
1.009706	1.460000e+03	3.270000e+02	1.850952e+02	1.850952e+02	2.189126e+02
1.009951	1.485000e+03	3.900000e+02	1.697516e+02	1.697516e+02	2.230462e+02
1.010196	1.411000e+03	2.810000e+02	1.189457e+02	1.189457e+02	2.263791e+02
1.010442	1.547000e+03	5.170000e+02	4.688656e+02	4.688656e+02	2.289520e+02
1.010687	1.458000e+03	4.800000e+02	5.749206e+02	5.749206e+02	2.308057e+02
1.010932	1.519000e+03	3.770000e+02	1.662784e+02	1.662784e+02	2.319810e+02
1.011178	1.455000e+03	3.330000e+02	1.962819e+02	1.962819e+02	2.325187e+02
1.011423	1.480000e+03	3.880000e+02	1.584427e+02	1.584427e+02	2.324595e+02
1.011669	1.346000e+03	3.150000e+02	1.510480e+02	1.510480e+02	2.318442e+02
1.011915	1.553000e+03	5.320000e+02	3.339464e+02	3.339464e+02	2.307137e+02
