# Sample: EPI-2082_BCB_ITO_500nm_50K_11.8mW_1.15eV_
# Temperature: 50.1 K
# Power: 12.1000 mW
# Smoothing: Savitzky-Golay, window=37 pts, poly_order=3
# Columns: Energy(eV) | Raw_counts | DarkSub_norm | WL_corrected | Stitched | Stitched_smooth
Energy(eV)	Raw_counts	DarkSub_norm	WL_corrected	Stitched	Stitched_smooth
1.007751	1.083000e+03	-5.000000e+00	-2.536808e+00	-2.536808e+00	-6.480348e+01
1.007995	1.092000e+03	-5.866667e+02	-2.469485e+02	-2.469485e+02	-7.544845e+01
1.008239	1.049000e+03	-3.666667e+01	-2.090913e+01	-2.090913e+01	-8.534059e+01
1.008484	1.146000e+03	-4.333333e+02	-1.577306e+02	-1.577306e+02	-9.448675e+01
1.008728	1.143000e+03	3.666667e+01	1.997031e+01	1.997031e+01	-1.028938e+02
1.008972	1.151000e+03	-4.100000e+02	-1.503356e+02	-1.503356e+02	-1.105686e+02
1.009217	1.085000e+03	4.000000e+01	2.242486e+01	2.242486e+01	-1.175180e+02
1.009462	1.179000e+03	-4.383333e+02	-1.735072e+02	-1.735072e+02	-1.237488e+02
1.009706	1.163000e+03	3.833333e+01	2.169821e+01	2.169821e+01	-1.292679e+02
1.009951	1.151000e+03	-5.016667e+02	-2.183557e+02	-2.183557e+02	-1.340822e+02
1.010196	1.171000e+03	5.166667e+01	2.187021e+01	2.187021e+01	-1.381986e+02
1.010442	1.063000e+03	-7.966667e+02	-7.224944e+02	-7.224944e+02	-1.416238e+02
1.010687	1.016000e+03	7.500000e+01	8.983135e+01	8.983135e+01	-1.443647e+02
1.010932	1.169000e+03	-5.566667e+02	-2.455215e+02	-2.455215e+02	-1.464282e+02
1.011178	1.138000e+03	1.666667e+01	9.823921e+00	9.823921e+00	-1.478211e+02
1.011423	1.104000e+03	-5.566667e+02	-2.273190e+02	-2.273190e+02	-1.485504e+02
1.011669	1.036000e+03	0.000000e+00	0.000000e+00	0.000000e+00	-1.486227e+02
1.011915	1.071000e+03	-7.616667e+02	-4.781125e+02	-4.781125e+02	-1.480451e+02
1.012161	1.124000e+03	1.500000e+01	1.097173e+01	1.097173e+01	-1.468244e+02
1.012407	1.162000e+03	-4.633333e+02	-1.582660e+02	-1.582660e+02	-1.392609e+02
1.012653	1.092000e+03	-7.000000e+01	-3.117424e+01	-3.117424e+01	-1.451469e+02
1.012900	1.160000e+03	-3.900000e+02	-1.104268e+02	-1.104268e+02	-1.322802e+02
1.013146	1.138000e+03	1.666667e+00	1.116197e+00	1.116197e+00	-1.343951e+02
1.013393	1.118000e+03	-6.150000e+02	-3.165776e+02	-3.165776e+02	-1.210110e+02
1.013640	1.102000e+03	1.166667e+01	6.692056e+00	6.692056e+00	-1.211910e+02
1.013887	1.069000e+03	-6.450000e+02	-2.972282e+02	-2.972282e+02	-1.075906e+02
1.014133	1.075000e+03	4.000000e+01	3.425621e+01	3.425621e+01	-1.079207e+02
1.014381	1.082000e+03	-5.400000e+02	-1.989807e+02	-1.989807e+02	-9.077896e+01
1.014628	1.103000e+03	6.000000e+01	3.607363e+01	3.607363e+01	-9.231428e+01
1.014875	1.033000e+03	-6.083333e+02	-2.299361e+02	-2.299361e+02	-7.708591e+01
1.015123	1.101000e+03	4.166667e+01	2.025121e+01	2.025121e+01	-1.006665e+02
1.015370	1.039000e+03	-6.183333e+02	-2.468983e+02	-2.468983e+02	-8.702429e+01
1.015618	1.062000e+03	6.500000e+01	4.396662e+01	4.396662e+01	-9.040235e+01
1.015866	1.063000e+03	-5.616667e+02	-1.575306e+02	-1.575306e+02	-7.259290e+01
1.016114	1.140000e+03	8.333333e+00	4.655245e+00	4.655245e+00	-7.662986e+01
1.016362	1.178000e+03	-3.650000e+02	-8.599653e+01	-8.599653e+01	-6.658159e+01
1.016610	1.076000e+03	6.333333e+01	4.260255e+01	4.260255e+01	-8.124997e+01
1.016858	1.172000e+03	-3.950000e+02	-9.038403e+01	-9.038403e+01	-7.090093e+01
1.017106	1.116000e+03	1.166667e+01	1.108489e+01	1.108489e+01	-7.401332e+01
1.017355	1.136000e+03	-6.616667e+02	-2.306294e+02	-2.306294e+02	-6.494103e+01
1.017604	1.104000e+03	8.333333e+00	5.102283e+00	5.102283e+00	-6.633347e+01
1.017852	1.128000e+03	-6.166667e+02	-1.812554e+02	-1.812554e+02	-5.730889e+01
1.018101	1.180000e+03	-1.666667e+00	-8.173594e-01	-8.173594e-01	-6.676622e+01
1.018350	1.138000e+03	-5.250000e+02	-1.436976e+02	-1.436976e+02	-6.006434e+01
1.018600	1.183000e+03	5.833333e+01	2.623494e+01	2.623494e+01	-7.002766e+01
1.018849	1.016000e+03	-6.433333e+02	-1.910274e+02	-1.910274e+02	-6.212735e+01
