# Sample: EPI-2082_BCB_ITO_500nm_50K_27.9mW_1.15eV_
# Temperature: 50.1 K
# Power: 28.6400 mW
# Smoothing: Savitzky-Golay, window=37 pts, poly_order=3
# Columns: Energy(eV) | Raw_counts | DarkSub_norm | WL_corrected | Stitched | Stitched_smooth
Energy(eV)	Raw_counts	DarkSub_norm	WL_corrected	Stitched	Stitched_smooth
1.007751	1.424000e+03	5.633333e+02	2.858137e+02	2.858137e+02	1.748507e+02
1.007995	1.504000e+03	1.000000e+02	4.209349e+01	4.209349e+01	1.807550e+02
1.008239	1.449000e+03	6.300000e+02	3.592568e+02	3.592568e+02	1.860791e+02
1.008484	1.454000e+03	8.000000e+01	2.911949e+01	2.911949e+01	1.908491e+02
1.008728	1.454000e+03	5.550000e+02	3.022778e+02	3.022778e+02	1.950915e+02
1.008972	1.425000e+03	4.666667e+01	1.711136e+01	1.711136e+01	1.988326e+02
1.009217	1.420000e+03	5.983333e+02	3.354385e+02	3.354385e+02	2.020986e+02
1.009462	1.471000e+03	4.833333e+01	1.913197e+01	1.913197e+01	2.049159e+02
1.009706	1.461000e+03	5.350000e+02	3.028315e+02	3.028315e+02	2.073108e+02
1.009951	1.487000e+03	5.833333e+01	2.539019e+01	2.539019e+01	2.093097e+02
1.010196	1.415000e+03	4.583333e+02	1.940100e+02	1.940100e+02	2.109388e+02
1.010442	1.558000e+03	2.833333e+01	2.569541e+01	2.569541e+01	2.122245e+02
1.010687	1.473000e+03	8.366667e+02	1.002119e+03	1.002119e+03	2.131931e+02
1.010932	1.537000e+03	5.666667e+01	2.499321e+01	2.499321e+01	2.138709e+02
1.011178	1.462000e+03	5.566667e+02	3.281190e+02	3.281190e+02	2.142842e+02
1.011423	1.467000e+03	4.833333e+01	1.973728e+01	1.973728e+01	2.144594e+02
1.011669	1.335000e+03	4.983333e+02	2.389595e+02	2.389595e+02	2.144228e+02
1.011915	1.562000e+03	5.666667e+01	3.557073e+01	3.557073e+01	2.142006e+02
1.012161	1.487000e+03	6.200000e+02	4.534983e+02	4.534983e+02	2.138193e+02
1.012407	1.484000e+03	7.333333e+01	2.504929e+01	2.504929e+01	2.254707e+02
1.012653	1.424000e+03	4.833333e+02	2.152507e+02	2.152507e+02	2.022925e+02
1.012900	1.417000e+03	3.833333e+01	1.085392e+01	1.085392e+01	2.190568e+02
