# Sample: EPI-2082_BCB_ITO_500nm_50K_0.46mW_1.15eV_
# Temperature: 50.1 K
# Power: 0.4723 mW
# Smoothing: Savitzky-Golay, window=37 pts, poly_order=3
# Columns: Energy(eV) | Raw_counts | DarkSub_norm | WL_corrected | Stitched | Stitched_smooth
Energy(eV)	Raw_counts	DarkSub_norm	WL_corrected	Stitched	Stitched_smooth
1.007751	1.463000e+03	1.110000e+02	5.631714e+01	5.631714e+01	4.551202e+01
1.007995	1.540000e+03	1.333333e+02	5.612465e+01	5.612465e+01	5.063466e+01
1.008239	1.456000e+03	1.183333e+02	6.747946e+01	6.747946e+01	5.525752e+01
1.008484	1.520000e+03	1.190000e+02	4.331525e+01	4.331525e+01	5.939992e+01
1.008728	1.516000e+03	1.176667e+02	6.408653e+01	6.408653e+01	6.308117e+01
1.008972	1.506000e+03	1.150000e+02	4.216729e+01	4.216729e+01	6.632061e+01
1.009217	1.493000e+03	1.176667e+02	6.596646e+01	6.596646e+01	6.913757e+01
1.009462	1.528000e+03	1.113333e+02	4.406950e+01	4.406950e+01	7.155136e+01
1.009706	1.565000e+03	1.140000e+02	6.452859e+01	6.452859e+01	7.358130e+01
1.009951	1.516000e+03	1.133333e+02	4.932952e+01	4.932952e+01	7.524673e+01
1.010196	1.503000e+03	1.056667e+02	4.472811e+01	4.472811e+01	7.656697e+01
1.010442	1.566000e+03	1.613333e+02	1.463127e+02	1.463127e+02	7.756135e+01
1.010687	1.588000e+03	1.806667e+02	2.163937e+02	2.163937e+02	7.824918e+01
1.010932	1.567000e+03	1.293333e+02	5.704333e+01	5.704333e+01	7.864979e+01
1.011178	1.553000e+03	1.263333e+02	7.446532e+01	7.446532e+01	7.878250e+01
1.011423	1.470000e+03	1.146667e+02	4.682499e+01	4.682499e+01	7.866665e+01
1.011669	1.420000e+03	1.090000e+02	5.226739e+01	5.226739e+01	7.832155e+01
1.011915	1.578000e+03	1.580000e+02	9.917956e+01	9.917956e+01	7.776653e+01
1.012161	1.540000e+03	1.273333e+02	9.313781e+01	9.313781e+01	7.702091e+01
1.012407	1.545000e+03	1.186667e+02	4.053431e+01	4.053431e+01	7.762430e+01
1.012653	1.462000e+03	1.053333e+02	4.690980e+01	4.690980e+01	7.391160e+01
1.012900	1.499000e+03	1.090000e+02	3.086287e+01	3.086287e+01	7.400527e+01
1.013146	1.541000e+03	1.183333e+02	7.925001e+01	7.925001e+01	7.198608e+01
1.013393	1.572000e+03	1.513333e+02	7.790041e+01	7.790041e+01	7.177354e+01
1.013640	1.534000e+03	1.276667e+02	7.323021e+01	7.323021e+01	6.971340e+01
1.013887	1.554000e+03	1.506667e+02	6.943005e+01	6.943005e+01	6.927384e+01
1.014133	1.588000e+03	1.490000e+02	1.276044e+02	1.276044e+02	6.674642e+01
